author;city;district;street;underground
ПИА Недвижимость;Sankt-Peterburg;Petrogradskij;Petrovskij;Krestovskij ostrov
Антонина Гаврилова;Sankt-Peterburg;Moskovskij;Zvezdnoe;Moskovskaja
Ирина Ивлева;Sankt-Peterburg;Tsentral'nyj;Furshtatskaja;Chernyshevskaja
Будь первым;Sankt-Peterburg;Tsentral'nyj;Litejnyj;Chernyshevskaja
Мир Квартир офис Санкт-Петербург;Sankt-Peterburg;Tsentral'nyj;Litejnyj;Chernyshevskaja
NF GROUP  St Petersburg;Sankt-Peterburg;Tsentral'nyj;Smol'ninskoe;Chernyshevskaja
Петербургская Недвижимость;Sankt-Peterburg;Petrogradskij;Chkalovskoe;Krestovskij ostrov
Инга Морозовская;Sankt-Peterburg;Tsentral'nyj;Smol'ninskoe;Chernyshevskaja
Школа Недвижимости;Sankt-Peterburg;Admiraltejskij;Galernaja;Vasileostrovskaja
Алёна Осипова;Sankt-Peterburg;Vasileostrovskij;20-ja Vasil'evskogo ostrova linija;Vasileostrovskaja
Мегаполис;Sankt-Peterburg;Tsentral'nyj;8-ja Sovetskaja;Ploschad' Vosstanija
Квартиры Санкт-Петербурга;Sankt-Peterburg;Petrogradskij;Chkalovskoe;Krestovskij ostrov
NEXT Level;Sankt-Peterburg;Tsentral'nyj;Smol'ninskoe;Chernyshevskaja
Будь первым;Sankt-Peterburg;Tsentral'nyj;Tavricheskaja;Chernyshevskaja
Евгения Титова;Sankt-Peterburg;Moskovskij;Moskovskaja zastava;Park Pobedy
КВС;Sankt-Peterburg;Petrogradskij;Petrovskij;Krestovskij ostrov
ХочуКвартиру;Sankt-Peterburg;Petrogradskij;Petrovskij;Krestovskij ostrov
Будь первым;Sankt-Peterburg;Moskovskij;Gastello;Moskovskaja
A-estate;Sankt-Peterburg;Vasileostrovskij;Beringa;Primorskaja
М16;Sankt-Peterburg;Petrogradskij;Rentgena;Petrogradskaja
Мир Квартир офис Санкт-Петербург;Sankt-Peterburg;Tsentral'nyj;Litejnyj;Chernyshevskaja
БЕНУА;Sankt-Peterburg;Petrogradskij;Aptekarskij ostrov;Petrogradskaja
Академия - центральный офис;Sankt-Peterburg;Tsentral'nyj;Smol'ninskoe;Chernyshevskaja
Алёна Осипова;Sankt-Peterburg;Petrogradskij;Chkalovskoe;Krestovskij ostrov
Александр Осипов;Sankt-Peterburg;Petrogradskij;Aptekarskij ostrov;Petrogradskaja
Адвекс;Sankt-Peterburg;Petrogradskij;Aptekarskij ostrov;Petrogradskaja
Будь первым;Sankt-Peterburg;Petrogradskij;Vjazovaja;Krestovskij ostrov
VIPFLAT;Sankt-Peterburg;Petrogradskij;Petrovskij;Sportivnaja
Владис Аврора;Sankt-Peterburg;Tsentral'nyj;Litejnyj;Majakovskaja
Elite Club Realty;Sankt-Peterburg;Petrogradskij;Rentgena;Petrogradskaja
NF GROUP  St Petersburg;Sankt-Peterburg;Admiraltejskij;Kolomna;Sadovaja
БЮРО НЕДВИЖИМОСТИ No1;Sankt-Peterburg;Petrogradskij;Kemskaja;Krestovskij ostrov
Адвекс;Sankt-Peterburg;Krasnosel'skij;Katernikov;Prospekt Veteranov
Аристократ;Sankt-Peterburg;Petrogradskij;Esperova;Krestovskij ostrov
VIPFLAT;Sankt-Peterburg;Petrogradskij;Chkalovskoe;Chkalovskaja
Мир Квартир офис Санкт-Петербург;Sankt-Peterburg;Tsentral'nyj;Litejnyj;Chernyshevskaja
Ирина Ивлева;Sankt-Peterburg;Petrogradskij;Vjazovaja;Krestovskij ostrov
VIPFLAT;Sankt-Peterburg;Petrogradskij;Vvedenskij;Gor'kovskaja
NF GROUP  St Petersburg;Sankt-Peterburg;Petrogradskij;Vjazovaja;Krestovskij ostrov
Дом мечты;Sankt-Peterburg;Petrogradskij;Chkalovskoe;Chkalovskaja
Richness Realty;Sankt-Peterburg;Tsentral'nyj;Tverskaja;Chernyshevskaja
Адвекс;Sankt-Peterburg;Kirovskij;Knjazhevo;Leninskij prospekt
Городской Центр Недвижимости;Sankt-Peterburg;Kirovskij;Knjazhevo;Prospekt Veteranov
РусланD;Sankt-Peterburg;Kirovskij;Leni Golikova;Prospekt Veteranov
АЗБУКА Недвижимости;Sankt-Peterburg;Kirovskij;Burtseva;Prospekt Veteranov
ID 64942927;Sankt-Peterburg;Kirovskij;Knjazhevo;Prospekt Veteranov
Адмирал;Sankt-Peterburg;Krasnosel'skij;2-ja Komsomol'skaja;Prospekt Veteranov
ID 46764169;Sankt-Peterburg;Krasnosel'skij;Gorelovo;Prospekt Veteranov
ID 6877330;Sankt-Peterburg;Krasnosel'skij;Politruka Pasechnika;Leninskij prospekt
ID 67666074;Sankt-Peterburg;Moskovskij;Krasnoputilovskaja;Leninskij prospekt
Бекар;Sankt-Peterburg;Krasnosel'skij;Konstantinovskoe;Prospekt Veteranov
Домината;Sankt-Peterburg;Kalininskij;Severnyj;Grazhdanskij prospekt
Номер 1;Sankt-Peterburg;Kirovskij;Chervonnogo Kazachestva;Avtovo
ID 6879202;Sankt-Peterburg;Kirovskij;Knjazhevo;Leninskij prospekt
Авторитет;Sankt-Peterburg;Kirovskij;Burtseva;Leninskij prospekt
АЗБУКА Недвижимости;Sankt-Peterburg;Kirovskij;Krasnoputilovskaja;Avtovo
ВАРИАНТ;Sankt-Peterburg;Krasnosel'skij;Konstantinovskoe;Prospekt Veteranov
ID 10847358;Sankt-Peterburg;Moskovskij;Kostjushko;Moskovskaja
ID 61552487;Sankt-Peterburg;Kirovskij;Knjazhevo;Prospekt Veteranov
Гарант-Сервис;Sankt-Peterburg;Kirovskij;Knjazhevo;Leninskij prospekt
ID 4169542;Sankt-Peterburg;Krasnosel'skij;Konstantinovskoe;Prospekt Veteranov
Русский Фонд Недвижимости;Sankt-Peterburg;Kirovskij;Krasnoputilovskaja;Avtovo
Масштаб Центр недвижимости;Sankt-Peterburg;Moskovskij;Kostjushko;Moskovskaja
ПРОСПЕКТ;Sankt-Peterburg;Kirovskij;Ziny Portnovoj;Leninskij prospekt
RBG Недвижимость  Realty Broker Group;Sankt-Peterburg;Kirovskij;Schastlivaja;Leninskij prospekt
ОКТАВА;Sankt-Peterburg;Kirovskij;Dachnoe;Prospekt Veteranov
Домината;Sankt-Peterburg;Kirovskij;Leni Golikova;Prospekt Veteranov
ID 13162130;Sankt-Peterburg;Kirovskij;Leni Golikova;Prospekt Veteranov
ID 89750135;Sankt-Peterburg;Kirovskij;Ul'janka;Leninskij prospekt
Артем Ширшов;Sankt-Peterburg;Moskovskij;Krasnoputilovskaja;Moskovskaja
Бекар;Sankt-Peterburg;Kirovskij;Leni Golikova;Prospekt Veteranov
ID 87974109;Sankt-Peterburg;Krasnosel'skij;Uritsk;Prospekt Veteranov
ID 8009208;Sankt-Peterburg;Nevskij;Narodnyj;Proletarskaja
ГлавстройСПб;Sankt-Peterburg;Primorskij;Ivinskaja;Begovaja
ID 3195736;Sankt-Peterburg;Kalininskij;Ushinskogo;Grazhdanskij prospekt
Адвекс;Sankt-Peterburg;Nevskij;Sedova;Lomonosovskaja
ID 50848831;Sankt-Peterburg;Krasnogvardejskij;Porohovye;Prospekt Bol'shevikov
РоссМетр;Sankt-Peterburg;Kolpinskij;Zavodskaja;Rybatskoe
ID 6879202;Sankt-Peterburg;Frunzenskij;Georgievskij;Prospekt Slavy
ID 12432317;Sankt-Peterburg;Nevskij;Nevskij;Prospekt Bol'shevikov
Номер 1;Sankt-Peterburg;Kolpinskij;Tverskaja;Rybatskoe
Масштаб Центр недвижимости;Sankt-Peterburg;Frunzenskij;Bely Kuna;Mezhdunarodnaja
Итака;Sankt-Peterburg;Nevskij;Nevskij;Prospekt Bol'shevikov
Адвекс;Sankt-Peterburg;Primorskij;Dolgoozernaja;Komendantskij prospekt
АУРУМ;Sankt-Peterburg;Vyborgskij;Sikejrosa;Ozerki
ID 60574887;Sankt-Peterburg;Nevskij;Dybenko;Ulitsa Dybenko
Адвекс;Sankt-Peterburg;Nevskij;Dal'nevostochnyj prospekt;Ulitsa Dybenko
ID 5285722;Sankt-Peterburg;Frunzenskij;Sofijskaja;Mezhdunarodnaja
Итака;Sankt-Peterburg;Nevskij;Podvojskogo;Prospekt Bol'shevikov
Адвекс;Sankt-Peterburg;Vyborgskij;Shuvalovo-Ozerki;Prospekt Prosveschenija
ГлавстройСПб;Sankt-Peterburg;Primorskij;Ivinskaja;Begovaja
АЛЬЯНС ПЛЮС;Sankt-Peterburg;Kirovskij;Kozlova;Leninskij prospekt
ВАРИАНТ;Sankt-Peterburg;Nevskij;Nevskij;Prospekt Bol'shevikov
Адвекс;Sankt-Peterburg;Primorskij;Ol'hovaja;Komendantskij prospekt
Адвекс;Sankt-Peterburg;Vyborgskij;Shuvalovo-Ozerki;Prospekt Prosveschenija
Торговый Дом Недвижимости;Sankt-Peterburg;Kalininskij;Ushinskogo;Grazhdanskij prospekt
ЮРИСТ  отд.;Sankt-Peterburg;Frunzenskij;Balkanskij;Dunajskaja
Город - М171;Sankt-Peterburg;Primorskij;Staroderevenskaja;Komendantskij prospekt
ПетербургНедвижимость;Sankt-Peterburg;Nevskij;prospekt Bol'shevikov;Ulitsa Dybenko
Инд. Предприниматели;Sankt-Peterburg;Krasnogvardejskij;Peredovikov;Ladozhskaja
ID 21631518;Sankt-Peterburg;Pushkinskij;prospekt Novgorodskij;Kupchino
ID 75228457;Sankt-Peterburg;Moskovskij;Moskovskaja zastava;Frunzenskaja
ID 61561862;Sankt-Peterburg;Vyborgskij;Rudneva;Prospekt Prosveschenija
ПОЛЕЗНЫЕ ЛЮДИ;Sankt-Peterburg;Nevskij;Podvojskogo;Ulitsa Dybenko
Домината;Sankt-Peterburg;Vyborgskij;Sosnovskoe;Ozerki
Огни Города;Sankt-Peterburg;Vyborgskij;Shuvalovo-Ozerki;Ozerki
ID 61058099;Sankt-Peterburg;Frunzenskij;prospekt Slavy;Prospekt Slavy
ID 77388875;Sankt-Peterburg;Nevskij;Krzhizhanovskogo;Prospekt Bol'shevikov
Адвекс;Sankt-Peterburg;Kronshtadtskij;Krasnaja;Chernaja rechka
Бекар;Sankt-Peterburg;Pushkinskij;Rostovskaja;Shushary
СТРАТЕГИЯ;Sankt-Peterburg;Primorskij;Ozero Dolgoe;Komendantskij prospekt
ID 66110093;Sankt-Peterburg;Frunzenskij;Balkanskij;Dunajskaja
Консенсус;Sankt-Peterburg;Vyborgskij;Parnas;Parnas
Дом мечты;Sankt-Peterburg;Admiraltejskij;Kolomna;Baltijskaja
АРЕНДАПОИСК;Sankt-Peterburg;Primorskij;Komendantskij aerodrom;Pionerskaja
ТРИАДА;Sankt-Peterburg;Primorskij;Ozero Dolgoe;Komendantskij prospekt
ID 44561735;Sankt-Peterburg;Vyborgskij;Sampsonievskoe;Lesnaja
ID 1652902;Sankt-Peterburg;Primorskij;Ozero Dolgoe;Komendantskij prospekt
НАШ ГОРОД;Sankt-Peterburg;Admiraltejskij;6-ja Krasnoarmejskaja;Tehnologicheskij institut
Группа Эталон;Sankt-Peterburg;Primorskij;Beloostrovskaja;Chernaja rechka
RBI;Sankt-Peterburg;Tsentral'nyj;Mirgorodskaja;Ploschad' Aleksandra Nevskogo
ЦАН - Центральное Агентство Недвижимости;Sankt-Peterburg;Tsentral'nyj;5-ja Sovetskaja;Ploschad' Vosstanija
ЦАН - Центральное Агентство Недвижимости;Sankt-Peterburg;Admiraltejskij;Kolomna;Baltijskaja
ЦАН - Центральное Агентство Недвижимости;Sankt-Peterburg;Vasileostrovskij;2-ja Vasil'evskogo ostrova linija;Vasileostrovskaja
NF GROUP  St Petersburg;Sankt-Peterburg;Petrogradskij;Chkalovskoe;Krestovskij ostrov
Россита Габриелян;Sankt-Peterburg;Tsentral'nyj;Sadovaja;Sennaja ploschad'
BEYOND. ex-Engel  Volkers;Sankt-Peterburg;Petrogradskij;Zhdanovskaja;Chkalovskaja
Экотон;Sankt-Peterburg;Admiraltejskij;Kolomna;Sadovaja
NF GROUP  St Petersburg;Sankt-Peterburg;Petrogradskij;Dinamovskaja;Krestovskij ostrov
ПРАЙМ недвижимость - Пушкинская;Sankt-Peterburg;Admiraltejskij;Kolomna;Baltijskaja
NF GROUP  St Petersburg;Sankt-Peterburg;Tsentral'nyj;8-ja Sovetskaja;Ploschad' Vosstanija
ID 1075540;Sankt-Peterburg;Tsentral'nyj;Dostoevskogo;Vladimirskaja
Запстрой недвижимость;Sankt-Peterburg;Petrogradskij;Kronverkskoe;Petrogradskaja
Группа Аквилон;Sankt-Peterburg;Petrogradskij;Lodejnopol'skaja;Chkalovskaja
BEYOND. ex-Engel  Volkers;Sankt-Peterburg;Tsentral'nyj;Dvortsovyj;Nevskij prospekt
МИР КВАРТИР;Sankt-Peterburg;Tsentral'nyj;Bol'shaja Konjushennaja;Admiraltejskaja
NF GROUP  St Petersburg;Sankt-Peterburg;Tsentral'nyj;Vladimirskij;Zvenigorodskaja
NF GROUP  St Petersburg;Sankt-Peterburg;Petrogradskij;Chkalovskoe;Krestovskij ostrov
МИР КВАРТИР;Sankt-Peterburg;Petrogradskij;Kronverkskoe;Gor'kovskaja
МИР КВАРТИР;Sankt-Peterburg;Petrogradskij;Aptekarskij ostrov;Petrogradskaja
МК-Элит;Sankt-Peterburg;Petrogradskij;Kemskaja;Krestovskij ostrov
МК-Элит;Sankt-Peterburg;Petrogradskij;Posadskij;Gor'kovskaja
МК-Элит;Sankt-Peterburg;Tsentral'nyj;Novgorodskaja;Chernyshevskaja
МК-Элит;Sankt-Peterburg;Admiraltejskij;Gorohovaja;Admiraltejskaja
МК-Элит;Sankt-Peterburg;Kurortnyj;Dubkovskoe shosse;Begovaja
МК-Элит;Sankt-Peterburg;Vasileostrovskij;Gavan';Primorskaja
МК-Элит;Sankt-Peterburg;Vyborgskij;Sampsonievskoe;Ploschad' Lenina
DealEstate;Sankt-Peterburg;Primorskij;1-ja Polevaja;Udel'naja
МК-Элит;Sankt-Peterburg;Tsentral'nyj;Vladimirskij;Dostoevskaja
МК-Элит;Sankt-Peterburg;Petrogradskij;Chkalovskoe;Krestovskij ostrov
МК-Элит;Sankt-Peterburg;Nevskij;Voroshilova;Prospekt Bol'shevikov
МК-Элит;Sankt-Peterburg;Vasileostrovskij;Ostrov Dekabristov;Primorskaja
МК-Элит;Sankt-Peterburg;Petrogradskij;Aptekarskij ostrov;Petrogradskaja
МК-Элит;Sankt-Peterburg;Primorskij;1-ja Polevaja;Udel'naja
МК-Элит;Sankt-Peterburg;Tsentral'nyj;Dvortsovyj;Gostinyj dvor
NF GROUP  St Petersburg;Sankt-Peterburg;Petrogradskij;Aptekarskij ostrov;Petrogradskaja
NF GROUP  St Petersburg;Sankt-Peterburg;Petrogradskij;Barochnaja;Chkalovskaja
BEYOND. ex-Engel  Volkers;Sankt-Peterburg;Tsentral'nyj;Zahar'evskaja;Chernyshevskaja
BEYOND. ex-Engel  Volkers;Sankt-Peterburg;Tsentral'nyj;Vladimirskij;Zvenigorodskaja
Richness Realty;Sankt-Peterburg;Tsentral'nyj;Tverskaja;Chernyshevskaja
РАД;Sankt-Peterburg;Moskovskij;Pulkovskij meridian;Moskovskaja
М16;Sankt-Peterburg;Tsentral'nyj;Paradnaja;Chernyshevskaja
Фабрика Недвижимости;Sankt-Peterburg;Moskovskij;Sveaborgskaja;Elektrosila
ГОРОБМЕН;Sankt-Peterburg;Tsentral'nyj;Vladimirskij;Ligovskij prospekt
Владис Центральный;Sankt-Peterburg;Vasileostrovskij;Nalichnaja;Primorskaja
BE HOME;Sankt-Peterburg;Petrogradskij;Aptekarskij ostrov;Petrogradskaja
ТРЕНД;Sankt-Peterburg;Kirovskij;Tankista Hrustitskogo;Prospekt Veteranov
Century 21 Гарант;Sankt-Peterburg;Krasnosel'skij;Juzhno-Primorskij;Leninskij prospekt
АРИН;Sankt-Peterburg;Admiraltejskij;Admiraltejskij;Admiraltejskaja
Аркада;Sankt-Peterburg;Admiraltejskij;12-ja Krasnoarmejskaja;Baltijskaja
Группа Аквилон;Sankt-Peterburg;Moskovskij;Zvezdnoe;Zvezdnaja
Петербургская Недвижимость;Sankt-Peterburg;Moskovskij;Gastello;Moskovskaja
Группа Эталон;Sankt-Peterburg;Petrogradskij;Petrovskij;Krestovskij ostrov
ID 97386417;Sankt-Peterburg;Admiraltejskij;Sennoj;Sennaja ploschad'
Максим Игнатов;Sankt-Peterburg;Tsentral'nyj;pereulok Apraksin;Sennaja ploschad'
МК-Элит;Sankt-Peterburg;Tsentral'nyj;Radischeva;Chernyshevskaja
МИР КВАРТИР;Sankt-Peterburg;Tsentral'nyj;Majakovskogo;Ploschad' Vosstanija
МК-Элит;Sankt-Peterburg;Admiraltejskij;Bol'shaja Morskaja;Admiraltejskaja
МК-Элит;Sankt-Peterburg;Vasileostrovskij;Nalichnaja;Primorskaja
Мир Квартир офис Санкт-Петербург;Sankt-Peterburg;Petrogradskij;Esperova;Krestovskij ostrov
МК-Элит;Sankt-Peterburg;Tsentral'nyj;Pushkinskaja;Ploschad' Vosstanija
МИР КВАРТИР;Sankt-Peterburg;Petrogradskij;Chkalovskoe;Sportivnaja
МИР КВАРТИР;Sankt-Peterburg;Vasileostrovskij;Vasil'evskij;Vasileostrovskaja
ID 62577002;Sankt-Peterburg;Tsentral'nyj;Litejnyj;Ploschad' Vosstanija
ID 97399065;Sankt-Peterburg;Tsentral'nyj;Litejnyj;Chernyshevskaja
ID 95636090;Sankt-Peterburg;Kurortnyj;doroga Tamozhennaja;Begovaja
Лидер Групп;Sankt-Peterburg;Moskovskij;Gagarinskoe;Moskovskaja
ЛСР. Недвижимость;Sankt-Peterburg;Petrogradskij;Petrovskij;Krestovskij ostrov
Лидер Групп;Sankt-Peterburg;Moskovskij;Gagarinskoe;Moskovskaja
ЛСР. Недвижимость;Sankt-Peterburg;Petrogradskij;Petrovskij;Krestovskij ostrov
ЛСР. Недвижимость;Sankt-Peterburg;Petrogradskij;Petrovskij;Krestovskij ostrov
ЛСР. Недвижимость;Sankt-Peterburg;Petrogradskij;Petrovskij;Krestovskij ostrov
ЛСР. Недвижимость;Sankt-Peterburg;Petrogradskij;Petrovskij;Krestovskij ostrov
ЛСР. Недвижимость;Sankt-Peterburg;Petrogradskij;Petrovskij;Krestovskij ostrov
ТРЕНД;Sankt-Peterburg;Admiraltejskij;Bol'shaja Morskaja;Admiraltejskaja
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;Sankt-Peterburg;Vyborgskij;prospekt Prosveschenija;Prospekt Prosveschenija
ID 94326651;Sankt-Peterburg;Petrogradskij;Rjuhina;Krestovskij ostrov
МИР КВАРТИР;Sankt-Peterburg;Admiraltejskij;Jakubovicha;Admiraltejskaja
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;Sankt-Peterburg;Vyborgskij;Sampsonievskoe;Vyborgskaja
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;Sankt-Peterburg;Tsentral'nyj;Ligovka-Jamskaja;Ploschad' Aleksandra Nevskogo
МК-Элит;Sankt-Peterburg;Tsentral'nyj;naberezhnaja Kanala Griboedova;Nevskij prospekt
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;Sankt-Peterburg;Vasileostrovskij;Vasil'evskij;Vasileostrovskaja
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;Sankt-Peterburg;Admiraltejskij;Dekabristov;Sadovaja
МК-Элит;Sankt-Peterburg;Petrogradskij;Vvedenskij;Sportivnaja
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;Sankt-Peterburg;Admiraltejskij;Sennoj;Tehnologicheskij institut
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;Sankt-Peterburg;Krasnosel'skij;Juzhno-Primorskij;Prospekt Veteranov
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;Sankt-Peterburg;Vasileostrovskij;Nalichnaja;Primorskaja
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;Sankt-Peterburg;Tsentral'nyj;6-ja Sovetskaja;Ploschad' Vosstanija
ТРЕНД;Sankt-Peterburg;Vasileostrovskij;7-ja Vasil'evskogo ostrova linija;Vasileostrovskaja
Владис Центральный;Sankt-Peterburg;Primorskij;Ozero Dolgoe;Komendantskij prospekt
МК-Элит;Sankt-Peterburg;Tsentral'nyj;Ryleeva;Chernyshevskaja
Владис Центральный;Sankt-Peterburg;Tsentral'nyj;Litejnyj;Chernyshevskaja
МК-Элит;Sankt-Peterburg;Vyborgskij;Kurchatova;Politehnicheskaja
МК-Элит;Sankt-Peterburg;Tsentral'nyj;Borovaja;Ligovskij prospekt
Невский простор;Sankt-Peterburg;Krasnogvardejskij;Stahanovtsev;Novocherkasskaja
МИР КВАРТИР;Sankt-Peterburg;Tsentral'nyj;Smol'ninskoe;Chernyshevskaja
МК-Элит;Sankt-Peterburg;Petrogradskij;Petrovskij;Sportivnaja
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;Sankt-Peterburg;Admiraltejskij;Sennoj;Sadovaja
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;Sankt-Peterburg;Primorskij;Komendantskij aerodrom;Pionerskaja
NF GROUP  St Petersburg;Sankt-Peterburg;Tsentral'nyj;Tverskaja;Chernyshevskaja
МК-Элит;Sankt-Peterburg;Petrogradskij;Petrovskij;Krestovskij ostrov
Время Инвест;Sankt-Peterburg;Tsentral'nyj;Smol'ninskoe;Ploschad' Vosstanija
МК-Элит;Sankt-Peterburg;Tsentral'nyj;Orlovskaja;Chernyshevskaja
МИР КВАРТИР;Sankt-Peterburg;Vasileostrovskij;Vasil'evskij;Vasileostrovskaja
МК-Элит;Sankt-Peterburg;Tsentral'nyj;Kirochnaja;Chernyshevskaja
ESTO;Sankt-Peterburg;Tsentral'nyj;Mohovaja;Chernyshevskaja
МИР КВАРТИР;Sankt-Peterburg;Tsentral'nyj;Dvortsovyj;Admiraltejskaja
МИР КВАРТИР;Sankt-Peterburg;Tsentral'nyj;Aleksandra Nevskogo;Ploschad' Aleksandra Nevskogo
ДомИн;Sankt-Peterburg;Admiraltejskij;Verejskaja;Tehnologicheskij institut
МК-Элит;Sankt-Peterburg;Petrogradskij;Kronverkskaja;Petrogradskaja
Ольга Данилевская;Sankt-Peterburg;Pushkinskij;prospekt Novgorodskij;Kupchino
АН Знаменское;Sankt-Peterburg;Admiraltejskij;7-ja Krasnoarmejskaja;Tehnologicheskij institut
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;Sankt-Peterburg;Pushkinskij;Dvortsovaja;Zvezdnaja
Этажи Санкт-Петербург;Sankt-Peterburg;Primorskij;Juntolovo;Komendantskij prospekt
FisherGroup;Sankt-Peterburg;Tsentral'nyj;Malaja Morskaja;Admiraltejskaja
ТРЕНД;Sankt-Peterburg;Admiraltejskij;Galernaja;Admiraltejskaja
МИР КВАРТИР;Sankt-Peterburg;Tsentral'nyj;9-ja Sovetskaja;Ploschad' Vosstanija
МК-Элит;Sankt-Peterburg;Vyborgskij;Sampsonievskoe;Vyborgskaja
МИР КВАРТИР;Sankt-Peterburg;Nevskij;Shelgunova;Proletarskaja
Алмаз Басыров;Sankt-Peterburg;Primorskij;Primorskij prospekt;Begovaja
Remiz;Sankt-Peterburg;Primorskij;Jahtennaja;Komendantskij prospekt
МК-Элит;Sankt-Peterburg;Petrogradskij;Petrovskij;Krestovskij ostrov
МИР КВАРТИР;Sankt-Peterburg;Tsentral'nyj;Bol'shaja Moskovskaja;Vladimirskaja
Remiz;Sankt-Peterburg;Admiraltejskij;Sennoj;Sadovaja
BR Group;Sankt-Peterburg;Vasileostrovskij;10-ja Vasil'evskogo ostrova linija;Vasileostrovskaja
МИР КВАРТИР;Sankt-Peterburg;Tsentral'nyj;Vladimirskij;Vladimirskaja
МК-Элит;Sankt-Peterburg;Admiraltejskij;Sadovaja;Sennaja ploschad'
МИР КВАРТИР;Sankt-Peterburg;Admiraltejskij;Malaja Morskaja;Admiraltejskaja
BE HOME;Sankt-Peterburg;Tsentral'nyj;Litejnyj;Ploschad' Vosstanija
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;Sankt-Peterburg;Krasnogvardejskij;Poljustrovo;Devjatkino
МИР КВАРТИР;Sankt-Peterburg;Admiraltejskij;Kolomna;Sadovaja
Этажи Санкт-Петербург;Sankt-Peterburg;Krasnosel'skij;Juzhno-Primorskij;Leninskij prospekt
Этажи Санкт-Петербург;Sankt-Peterburg;Tsentral'nyj;Litejnyj;Chernyshevskaja
Владис Аврора;Sankt-Peterburg;Primorskij;1-ja Alekseevskaja;Prospekt Prosveschenija
МИР КВАРТИР;Sankt-Peterburg;Kalininskij;Finljandskij;Ploschad' Lenina
МИР КВАРТИР;Sankt-Peterburg;Tsentral'nyj;Tverskaja;Chernyshevskaja
МК-Элит;Sankt-Peterburg;Petrogradskij;Barochnaja;Chkalovskaja
BR Group;Sankt-Peterburg;Tsentral'nyj;Vladimirskij;Majakovskaja
Этажи Санкт-Петербург;Sankt-Peterburg;Tsentral'nyj;Kolomenskaja;Vladimirskaja
ТРЕНД;Sankt-Peterburg;Nevskij;Obuhovskij;Obuhovo
ТРЕНД;Sankt-Peterburg;Tsentral'nyj;5-ja Sovetskaja;Ploschad' Vosstanija
МИР КВАРТИР;Sankt-Peterburg;Primorskij;Novaja;Begovaja
МК-Элит;Sankt-Peterburg;Tsentral'nyj;Mohovaja;Chernyshevskaja
МИР КВАРТИР;Sankt-Peterburg;Tsentral'nyj;Vladimirskij;Majakovskaja
NF GROUP  St Petersburg;Sankt-Peterburg;Petrogradskij;Kronverkskoe;Petrogradskaja
ДомИн;Sankt-Peterburg;Petrogradskij;Barmaleeva;Petrogradskaja
Этажи Санкт-Петербург;Sankt-Peterburg;Tsentral'nyj;Rubinshtejna;Dostoevskaja
Владис Аврора;Sankt-Peterburg;Tsentral'nyj;Vladimirskij;Pushkinskaja
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;Sankt-Peterburg;Tsentral'nyj;Chajkovskogo;Chernyshevskaja
FisherGroup;Sankt-Peterburg;Tsentral'nyj;Ligovka-Jamskaja;Ploschad' Vosstanija
Этажи Санкт-Петербург;Sankt-Peterburg;Vyborgskij;Bol'shaja Ozernaja;Ozerki
Этажи Санкт-Петербург;Sankt-Peterburg;Kirovskij;Ul'janka;Prospekt Veteranov
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;Sankt-Peterburg;Admiraltejskij;6-ja Krasnoarmejskaja;Tehnologicheskij institut
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;Sankt-Peterburg;Tsentral'nyj;Litejnyj;Majakovskaja
Группа Эталон;Sankt-Peterburg;Petrogradskij;Petrovskij;Krestovskij ostrov
Матвеев Дом;Sankt-Peterburg;Kolpinskij;Proletarskaja;Kupchino
АБСОЛЮТ;Sankt-Peterburg;Frunzenskij;Buharestskaja;Mezhdunarodnaja
ТРЕНД;Sankt-Peterburg;Admiraltejskij;Efimova;Sennaja ploschad'
Этажи Санкт-Петербург;Sankt-Peterburg;Primorskij;Juntolovo;Komendantskij prospekt
Этажи Санкт-Петербург;Sankt-Peterburg;Tsentral'nyj;2-ja Sovetskaja;Ploschad' Vosstanija
Ю Питер;Sankt-Peterburg;Kalininskij;Komsomola;Ploschad' Lenina
АУРУМ;Sankt-Peterburg;Kirovskij;Narvskij;Narvskaja
Группа Эталон;Sankt-Peterburg;Petrogradskij;Petrovskij;Krestovskij ostrov
Active Group - Арендафон. Штаб Квартир;Sankt-Peterburg;Tsentral'nyj;Smol'ninskoe;Ploschad' Vosstanija
Этажи Санкт-Петербург;Sankt-Peterburg;Vasileostrovskij;Nalichnaja;Primorskaja
МИР КВАРТИР;Sankt-Peterburg;Vasileostrovskij;11-ja Vasil'evskogo ostrova linija;Vasileostrovskaja
