author;author_type;city;floor;floors_count;rooms_count;total_meters;price_per_m2;price;year_of_construction;living_meters;kitchen_meters;district;street;underground
МАСТЕР-ГРУПП Реал Эстейт;Представитель застройщика;Sankt-Peterburg;4;8;4;119.03;460000.0;54753800;2023;;;Petrogradskij;Aptekarskij ostrov;Petrogradskaja
ЛСР. Недвижимость;Застройщик;Sankt-Peterburg;11;13;4;163.9;334400.0;54808160;2017;95.0;18.0;Primorskij;Primorskij prospekt;Begovaja
Этажи Санкт-Петербург;Агентство недвижимости;Sankt-Peterburg;8;8;4;201.0;273631.0;55000000;;121.8;24.6;Moskovskij;Pulkovskij meridian;Moskovskaja
МИР КВАРТИР;Агентство недвижимости;Sankt-Peterburg;4;4;4;207.7;267212.0;55500000;;89.5;84.2;Admiraltejskij;Admiraltejskij;Admiraltejskaja
МАСТЕР-ГРУПП Реал Эстейт;Представитель застройщика;Sankt-Peterburg;8;11;4;167.0;345350.0;57673485;2016;;;Petrogradskij;Grota;Petrogradskaja
МК-Элит;Агентство недвижимости;Sankt-Peterburg;2;7;4;124.7;464314.0;57900000;2006;68.0;9.0;Petrogradskij;Kemskaja;Krestovskij ostrov
Этажи Санкт-Петербург;Агентство недвижимости;Sankt-Peterburg;17;19;4;140.0;425000.0;59500000;2013;70.0;56.0;Moskovskij;Kievskaja;Frunzenskaja
МИР КВАРТИР;Агентство недвижимости;Sankt-Peterburg;4;5;4;157.0;382165.0;60000000;;95.0;23.0;Admiraltejskij;Sennoj;Sennaja ploschad'
Алёна Осипова;Риелтор;Sankt-Peterburg;1;6;4;192.6;311526.0;60000000;2022;;8.7;Vasileostrovskij;20-ja Vasil'evskogo ostrova linija;Vasileostrovskaja
Этажи Санкт-Петербург;Агентство недвижимости;Sankt-Peterburg;3;8;4;123.0;504065.0;62000000;2017;85.0;30.0;Primorskij;Primorskij prospekt;Begovaja
Группа Эталон;Застройщик;Sankt-Peterburg;2;9;4;183.8;344438.0;63307871;2022;102.0;18.0;Petrogradskij;Petrovskij;Krestovskij ostrov
Группа Эталон;Застройщик;Sankt-Peterburg;8;9;4;167.9;383408.0;64374246;2022;95.0;18.0;Petrogradskij;Petrovskij;Krestovskij ostrov
МК-Элит;Агентство недвижимости;Sankt-Peterburg;9;10;4;191.4;339602.0;65000000;2005;108.4;45.9;Tsentral'nyj;Smol'ninskoe;Chernyshevskaja
МК-Элит;Агентство недвижимости;Sankt-Peterburg;4;8;4;157.2;416666.0;65500000;2017;82.5;22.7;Primorskij;Primorskij prospekt;Begovaja
МК-Элит;Агентство недвижимости;Sankt-Peterburg;8;9;4;121.7;541906.0;65950000;2017;71.7;19.7;Petrogradskij;Mira;Gor'kovskaja
NF GROUP  St Petersburg;Агентство недвижимости;Sankt-Peterburg;5;6;4;126.9;533116.0;67652460;2018;;10.0;Petrogradskij;Petrovskij;
BONAVA;Застройщик;Sankt-Peterburg;13;14;4;199.3;343228.0;68405393;2023;;;Krasnogvardejskij;Magnitogorskaja;Novocherkasskaja
МК-Элит;Агентство недвижимости;Sankt-Peterburg;5;7;4;160.0;431875.0;69100000;1846;87.0;30.0;Tsentral'nyj;Tavricheskaja;Chernyshevskaja
ЛСР. Недвижимость;Застройщик;Sankt-Peterburg;4;9;4;166.4;418000.0;69555200;2018;97.0;16.0;Tsentral'nyj;Litejnyj;Chernyshevskaja
BE HOME;Агентство недвижимости;Sankt-Peterburg;1;3;4;243.7;287238.0;70000000;2007;149.8;19.3;Kurortnyj;Dubkovskoe shosse;Begovaja
Active Group - Арендафон. Штаб Квартир;Агентство недвижимости;Sankt-Peterburg;5;7;4;171.8;407450.0;70000000;2008;103.1;13.8;Petrogradskij;Chkalovskoe;Petrogradskaja
МК-Элит;Агентство недвижимости;Sankt-Peterburg;4;8;4;184.2;394136.0;72600000;2007;71.8;62.6;Petrogradskij;Chkalovskoe;Petrogradskaja
Группа Эталон;Застройщик;Sankt-Peterburg;9;9;4;173.3;427908.0;74156591;2022;102.0;18.0;Petrogradskij;Petrovskij;Krestovskij ostrov
МК-Элит;Агентство недвижимости;Sankt-Peterburg;3;5;4;165.9;452079.0;75000000;1852;102.0;20.0;Tsentral'nyj;Bol'shaja Konjushennaja;Nevskij prospekt
FisherGroup;Агентство недвижимости;Sankt-Peterburg;5;7;4;211.0;355450.0;75000000;1999;104.0;17.0;Tsentral'nyj;Mohovaja;Gostinyj dvor
МАСТЕР-ГРУПП Реал Эстейт;Представитель застройщика;Sankt-Peterburg;11;11;4;118.78;661598.0;78584716;2025;;;Moskovskij;Lomanaja;Moskovskie vorota
МИР КВАРТИР;Агентство недвижимости;Sankt-Peterburg;3;5;4;182.6;432639.0;79000000;1901;80.3;30.0;Petrogradskij;Gatchinskaja;Chkalovskaja
МИР КВАРТИР;Агентство недвижимости;Sankt-Peterburg;2;9;4;220.4;357985.0;78900000;2005;148.1;20.0;Petrogradskij;Chkalovskoe;Krestovskij ostrov
МК-Элит;Агентство недвижимости;Sankt-Peterburg;8;8;4;173.0;461849.0;79900000;2015;;20.4;Petrogradskij;Kujbysheva;Gor'kovskaja
МИР КВАРТИР;Агентство недвижимости;Sankt-Peterburg;8;9;4;184.3;447639.0;82500000;2005;89.0;20.0;Tsentral'nyj;Shpalernaja;Chernyshevskaja
МИР КВАРТИР;Агентство недвижимости;Sankt-Peterburg;9;9;4;133.5;629213.0;84000000;2022;86.4;34.0;Petrogradskij;Barochnaja;Chkalovskaja
МАСТЕР-ГРУПП Реал Эстейт;Представитель застройщика;Sankt-Peterburg;11;11;4;126.55;662996.0;83902252;2025;;;Moskovskij;Lomanaja;Moskovskie vorota
МК-Элит;Агентство недвижимости;Sankt-Peterburg;5;7;4;257.0;336575.0;86500000;1910;145.4;40.0;Petrogradskij;Aptekarskij ostrov;Petrogradskaja
ЛСР. Недвижимость;Застройщик;Sankt-Peterburg;4;8;4;181.0;489600.0;88617600;2016;101.0;15.0;Tsentral'nyj;Orlovskaja;Chernyshevskaja
ЛСР. Недвижимость;Застройщик;Sankt-Peterburg;6;9;4;157.0;566000.0;88862000;2018;73.0;37.0;Tsentral'nyj;Litejnyj;Chernyshevskaja
МК-Элит;Агентство недвижимости;Sankt-Peterburg;7;7;4;169.9;529134.0;89900000;;94.6;17.3;Tsentral'nyj;Paradnaja;Chernyshevskaja
МИР КВАРТИР;Агентство недвижимости;Sankt-Peterburg;5;6;4;250.0;384000.0;96000000;1911;155.0;40.0;Petrogradskij;Kronverkskoe;Gor'kovskaja
МК-Элит;Агентство недвижимости;Sankt-Peterburg;7;7;4;210.0;471428.0;99000000;2017;120.0;34.0;Primorskij;Primorskij prospekt;Staraja Derevnja
NF GROUP  St Petersburg;Агентство недвижимости;Sankt-Peterburg;5;5;4;158.0;632911.0;100000000;1846;114.5;20.3;Tsentral'nyj;Ital'janskaja;Nevskij prospekt
МК-Элит;Агентство недвижимости;Sankt-Peterburg;8;8;4;234.5;468656.0;109900000;2007;107.1;84.0;Petrogradskij;Chkalovskoe;Petrogradskaja
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;Агентство недвижимости;Sankt-Peterburg;7;8;4;184.2;651465.0;120000000;2013;114.7;16.8;Tsentral'nyj;Paradnaja;Chernyshevskaja
Зеленые крыши;Агентство недвижимости;Sankt-Peterburg;10;11;4;248.0;500000.0;124000000;2017;72.8;99.0;Petrogradskij;Zhdanovskaja;Krestovskij ostrov
МК-Элит;Агентство недвижимости;Sankt-Peterburg;4;5;4;239.0;523012.0;125000000;1852;147.0;11.6;Tsentral'nyj;Bol'shaja Konjushennaja;Nevskij prospekt
ТРЕНД;Агентство недвижимости;Sankt-Peterburg;2;9;4;179.4;696767.0;125000000;2007;108.0;17.9;Petrogradskij;Kemskaja;Krestovskij ostrov
МК-Элит;Агентство недвижимости;Sankt-Peterburg;3;8;4;174.2;743398.0;129500000;2017;95.5;23.0;Petrogradskij;Vjazovaja;Krestovskij ostrov
Этажи Санкт-Петербург;Агентство недвижимости;Sankt-Peterburg;2;8;4;179.4;719063.0;129000000;2007;111.0;50.0;Petrogradskij;Kemskaja;Krestovskij ostrov
Номер Один - офис Добролюбова;Агентство недвижимости;Sankt-Peterburg;2;4;4;315.0;407936.0;128500000;;113.0;115.0;Petrogradskij;Chkalovskoe;Krestovskij ostrov
МК-Элит;Агентство недвижимости;Sankt-Peterburg;2;7;4;196.0;714285.0;140000000;;152.1;29.9;Tsentral'nyj;Bol'shaja Konjushennaja;Nevskij prospekt
ЛСР. Недвижимость;Застройщик;Sankt-Peterburg;9;9;4;238.1;709000.0;168812900;2018;118.0;43.0;Tsentral'nyj;Litejnyj;Chernyshevskaja
МАСТЕР-ГРУПП Реал Эстейт;Представитель застройщика;Sankt-Peterburg;7;7;4;246.07;1075994.0;264770000;2022;;;Tsentral'nyj;Litejnyj;Ploschad' Lenina
Российский аукционный дом;Агентство недвижимости;Sankt-Peterburg;1;1;4;148.4;17857.0;2650000;1963;115.6;20.0;Petrodvortsovyj;Novogorskaja;
МАКРОМИР НЕДВИЖИМОСТЬ;Агентство недвижимости;Sankt-Peterburg;5;5;4;48.3;108695.0;5250000;1968;34.3;5.2;Kolpinskij;Proletarskaja;Shushary
Дом мечты;Агентство недвижимости;Sankt-Peterburg;2;5;4;49.0;108142.0;5299000;1968;37.1;5.3;Kolpinskij;Tankistov;
Студия 78;Агентство недвижимости;Sankt-Peterburg;3;5;4;48.3;108695.0;5250000;1968;36.7;5.3;Kolpinskij;Proletarskaja;Shushary
Грин Хилл;Агентство недвижимости;Sankt-Peterburg;1;5;4;48.8;108606.0;5300000;1966;38.5;5.7;Kirovskij;Leni Golikova;Prospekt Veteranov
Сергей Тройнин;Риелтор;Sankt-Peterburg;3;5;4;49.6;108669.0;5390000;1967;38.0;5.2;Kolpinskij;Proletarskaja;Shushary
Петербургская Недвижимость;Агентство недвижимости;Sankt-Peterburg;4;5;4;49.0;112244.0;5500000;1967;37.0;5.0;Krasnosel'skij;Tambasova;
MASTER-GROUP Real Estate;Агентство недвижимости;Sankt-Peterburg;1;5;4;48.8;112704.0;5500000;1965;;4.5;Kirovskij;Knjazhevo;Prospekt Veteranov
ЭксперТ;Агентство недвижимости;Sankt-Peterburg;3;5;4;48.6;124485.0;6050000;1968;36.9;5.3;Kolpinskij;Proletarskaja;Shushary
Первое Агентство Недвижимости;Агентство недвижимости;Sankt-Peterburg;5;5;4;49.8;123273.0;6139000;1962;36.1;5.4;Kirovskij;Podvodnika Kuz'mina;Leninskij prospekt
Марина Савина;Риелтор;Sankt-Peterburg;4;5;4;48.5;127835.0;6200000;1966;37.5;5.5;Kirovskij;Dachnoe;Prospekt Veteranov
АДРЕС ЭСТЕЙТ;Агентство недвижимости;Sankt-Peterburg;3;5;4;49.1;126272.0;6200000;1963;38.1;5.1;Kirovskij;Knjazhevo;Leninskij prospekt
Столица Квартир;Агентство недвижимости;Sankt-Peterburg;1;5;4;48.7;129363.0;6300000;1962;34.7;5.7;Kirovskij;Knjazhevo;
Школа Недвижимости;Агентство недвижимости;Sankt-Peterburg;5;5;4;49.2;129065.0;6350000;1964;37.5;5.3;Moskovskij;Kostjushko;Moskovskaja
Панорама;Агентство недвижимости;Sankt-Peterburg;3;5;4;48.9;131901.0;6450000;1969;37.0;5.3;Krasnosel'skij;Konstantinovskoe;Prospekt Veteranov
ЮГАН;Агентство недвижимости;Sankt-Peterburg;4;5;4;48.9;131901.0;6450000;1967;31.3;5.3;Krasnosel'skij;Tambasova;Prospekt Veteranov
Торговый дом недвижимости;Агентство недвижимости;Sankt-Peterburg;2;5;4;50.0;130000.0;6500000;1966;37.5;6.0;Krasnosel'skij;2-ja Komsomol'skaja;Leninskij prospekt
Будь первым;Агентство недвижимости;Sankt-Peterburg;5;5;4;50.0;132000.0;6600000;1964;35.0;5.5;Moskovskij;Krasnoputilovskaja;Moskovskaja
Надежда;Агентство недвижимости;Sankt-Peterburg;2;5;4;49.6;135080.0;6700000;1961;36.5;5.5;Kirovskij;Chervonnogo Kazachestva;Avtovo
Антонина Гаврилова;Риелтор;Sankt-Peterburg;5;5;4;49.3;135902.0;6700000;1966;37.3;6.0;Kirovskij;Dachnoe;Prospekt Veteranov
Веста-Н;Агентство недвижимости;Sankt-Peterburg;4;5;4;49.0;137755.0;6750000;1967;37.2;5.3;Krasnosel'skij;2-ja Komsomol'skaja;
Алена Фролова;Риелтор;Sankt-Peterburg;3;5;4;49.0;138775.0;6800000;1965;30.0;5.3;Kirovskij;Knjazhevo;Prospekt Veteranov
Адвекс;Агентство недвижимости;Sankt-Peterburg;4;5;4;49.0;138775.0;6800000;1962;37.0;5.5;Kirovskij;Knjazhevo;Leninskij prospekt
Квадраты Ленинграда;Агентство недвижимости;Sankt-Peterburg;1;5;4;49.2;138211.0;6800000;1968;36.0;5.5;Frunzenskij;Prazhskaja;Mezhdunarodnaja
ИП Шутикова Е. С.;Агентство недвижимости;Sankt-Peterburg;1;5;4;49.2;138211.0;6800000;1966;37.1;5.4;Kirovskij;Tankista Hrustitskogo;Prospekt Veteranov
Самолет Плюс Тосно;Агентство недвижимости;Sankt-Peterburg;4;5;4;58.7;117546.0;6900000;1964;43.2;7.2;Moskovskij;Kostjushko;
Городской Центр Недвижимости;Агентство недвижимости;Sankt-Peterburg;5;5;4;49.25;140101.0;6900000;1961;37.5;5.4;Kirovskij;Ziny Portnovoj;Leninskij prospekt
Марина Савина;Риелтор;Sankt-Peterburg;4;5;4;50.0;139800.0;6990000;1966;37.5;5.3;Kirovskij;Dachnoe;Prospekt Veteranov
Будь первым;Агентство недвижимости;Sankt-Peterburg;4;5;4;49.0;144285.0;7070000;1964;37.0;5.5;Kirovskij;Knjazhevo;Leninskij prospekt
Масштаб Центр недвижимости;Агентство недвижимости;Sankt-Peterburg;3;5;4;49.5;141414.0;7000000;1964;35.0;5.2;Kirovskij;Knjazhevo;Leninskij prospekt
АЗБУКА Недвижимости;Агентство недвижимости;Sankt-Peterburg;3;5;4;48.2;147095.0;7090000;1961;36.9;5.2;Kirovskij;Ziny Portnovoj;Leninskij prospekt
АДРЕСАТ;Агентство недвижимости;Sankt-Peterburg;4;5;4;49.0;144897.0;7100000;1964;38.6;5.4;Kirovskij;Knjazhevo;
ПРОФ-Недвижимость;Агентство недвижимости;Sankt-Peterburg;3;9;4;72.0;98611.0;7100000;1971;52.0;6.5;Kolpinskij;Very Slutskoj;Shushary
Петербургский Квартал;Агентство недвижимости;Sankt-Peterburg;1;5;4;49.0;147938.0;7249000;1965;37.1;5.3;Kirovskij;Knjazhevo;Prospekt Veteranov
АЗБУКА Недвижимости;Агентство недвижимости;Sankt-Peterburg;5;5;4;48.8;147540.0;7200000;1962;37.2;5.5;Kirovskij;Knjazhevo;Leninskij prospekt
АРИСТЕЙ-Риэлти;Агентство недвижимости;Sankt-Peterburg;5;5;4;48.6;148127.0;7199000;1961;37.0;5.4;Kirovskij;Knjazhevo;Leninskij prospekt
СТАТУС;Агентство недвижимости;Sankt-Peterburg;5;5;4;49.0;146938.0;7200000;1965;21.0;21.0;Kirovskij;Knjazhevo;Prospekt Veteranov
Элит-Сервис Недвижимость;Агентство недвижимости;Sankt-Peterburg;1;5;4;49.0;146938.0;7200000;1963;37.2;6.0;Moskovskij;Novoizmajlovskoe;Leninskij prospekt
Эрмитаж Галерея Недвижимости;Агентство недвижимости;Sankt-Peterburg;2;5;4;49.3;148073.0;7300000;1966;37.3;6.0;Kirovskij;Dachnoe;Prospekt Veteranov
Будь первым;Агентство недвижимости;Sankt-Peterburg;1;5;4;49.4;147773.0;7300000;1968;33.0;8.0;Frunzenskij;Prazhskaja;Mezhdunarodnaja
Панорама;Агентство недвижимости;Sankt-Peterburg;3;5;4;54.0;135185.0;7300000;1967;41.0;5.6;Krasnosel'skij;Tambasova;Prospekt Veteranov
АТЛАНТА;Агентство недвижимости;Sankt-Peterburg;4;5;4;48.3;151138.0;7300000;1961;35.0;5.5;Kirovskij;Ziny Portnovoj;Leninskij prospekt
АЛЬЯНС ПЛЮС;Агентство недвижимости;Sankt-Peterburg;8;9;4;72.5;104689.0;7590000;1971;51.5;6.3;Kolpinskij;Very Slutskoj;
Адвекс;Агентство недвижимости;Sankt-Peterburg;5;5;4;60.3;126036.0;7600000;1972;44.3;5.5;Petrodvortsovyj;Pobedy;
Студия 78;Агентство недвижимости;Sankt-Peterburg;4;9;4;74.2;102830.0;7630000;1978;48.5;6.3;Kolpinskij;Raumskaja;
Формула Недвижимости;Агентство недвижимости;Sankt-Peterburg;4;5;4;49.0;157142.0;7700000;1968;37.1;5.3;Moskovskij;Kostjushko;Moskovskaja
РоссМетр;Агентство недвижимости;Sankt-Peterburg;4;5;4;47.6;163865.0;7800000;1963;39.6;5.5;Moskovskij;Krasnoputilovskaja;Moskovskaja
ТРИАДА;Агентство недвижимости;Sankt-Peterburg;3;5;4;58.7;136115.0;7990000;1962;42.5;7.1;Kirovskij;Podvodnika Kuz'mina;Leninskij prospekt
Екатерина Шлепнева;Риелтор;Sankt-Peterburg;6;7;4;74.8;105614.0;7900000;2005;50.0;8.7;Pushkinskij;Lensovetovskij ter.;Shushary
ТОЧКАДОМ;Агентство недвижимости;Sankt-Peterburg;2;5;4;59.2;135135.0;8000000;1961;44.0;7.0;Kirovskij;Knjazhevo;Leninskij prospekt
Никита Лабецкий;Риелтор;Sankt-Peterburg;5;5;4;60.2;135382.0;8149999;1963;41.2;6.4;Kirovskij;Knjazhevo;Leninskij prospekt
БЮРО НЕДВИЖИМОСТИ No1;Агентство недвижимости;Sankt-Peterburg;1;5;4;49.0;167244.0;8194996;1963;37.5;6.5;Kirovskij;Knjazhevo;Leninskij prospekt
Студия 78;Агентство недвижимости;Sankt-Peterburg;4;9;4;76.1;108935.0;8290000;1971;49.0;9.8;Kolpinskij;bul'var Trudjaschihsja;Shushary
Ленстроймонолит;Агентство недвижимости;Sankt-Peterburg;2;5;4;49.0;169387.0;8300000;1968;37.0;7.0;Kirovskij;Soldata Korzuna;Prospekt Veteranov
Торговый дом недвижимости;Агентство недвижимости;Sankt-Peterburg;4;9;4;73.2;113387.0;8300000;1982;48.3;6.3;Kolpinskij;Pavlovskaja;Shushary
Адвекс;Агентство недвижимости;Sankt-Peterburg;1;9;4;73.1;114911.0;8400000;1981;48.5;6.2;Krasnogvardejskij;Rzhevka;Ladozhskaja
МАКРОМИР НЕДВИЖИМОСТЬ;Агентство недвижимости;Sankt-Peterburg;4;10;4;73.4;115803.0;8500000;1987;48.9;6.1;Krasnosel'skij;Kommunarov;Prospekt Veteranov
Аристократ;Агентство недвижимости;Sankt-Peterburg;2;4;4;81.8;103911.0;8500000;1960;58.9;8.3;Krasnosel'skij;Pogranichnika Gar'kavogo;Avtovo
Агентство Недвижимости КВАДРАТЫ;Агентство недвижимости;Sankt-Peterburg;8;9;4;78.3;108556.0;8500000;1974;54.8;9.5;Vyborgskij;Kustodieva;Prospekt Prosveschenija
ЮСОН;Агентство недвижимости;Sankt-Peterburg;2;5;4;60.1;143094.0;8600000;1968;44.9;7.4;Kirovskij;Knjazhevo;Leninskij prospekt
Панорама;Агентство недвижимости;Sankt-Peterburg;4;5;4;66.9;130044.0;8700000;1963;50.0;5.1;Kalininskij;Zamshina;
Невская Недвижимость;Агентство недвижимости;Sankt-Peterburg;2;5;4;59.2;146959.0;8700000;1965;42.6;6.3;Kirovskij;Knjazhevo;Prospekt Veteranov
Азбука Дома;Агентство недвижимости;Sankt-Peterburg;3;9;4;75.7;116248.0;8800000;1972;52.0;6.3;Nevskij;Evdokima Ogneva;Ulitsa Dybenko
НЕВАДА-ЦЕНТР;Агентство недвижимости;Sankt-Peterburg;4;5;4;58.9;150254.0;8850000;1968;43.3;7.2;Kirovskij;Ul'janka;Prospekt Veteranov
Смарт Инновации;Агентство недвижимости;Sankt-Peterburg;9;9;4;73.5;121768.0;8950000;1979;48.7;6.3;Vyborgskij;Shostakovicha;Prospekt Prosveschenija
ТРИАДА;Агентство недвижимости;Sankt-Peterburg;5;5;4;48.4;185929.0;8999000;1961;37.0;5.5;Kirovskij;Ziny Portnovoj;Leninskij prospekt
Владис Аврора;Агентство недвижимости;Sankt-Peterburg;2;4;4;70.1;129814.0;9100000;1906;38.9;15.1;Nevskij;Obuhovskij;Proletarskaja
Агентство недвижимости Ольги Смирновой;Агентство недвижимости;Sankt-Peterburg;1;3;4;81.6;113848.0;9290000;1956;56.9;7.5;Pushkinskij;Detskosel'skaja;
FORTRESS;Агентство недвижимости;Sankt-Peterburg;4;5;4;71.0;132394.0;9400000;1970;53.4;7.2;Kalininskij;Uchitel'skaja;Grazhdanskij prospekt
ХэштегриэлТ;Агентство недвижимости;Sankt-Peterburg;8;9;4;91.9;104243.0;9580000;1973;60.9;11.1;Kolpinskij;Zagorodnaja;Rybatskoe
Дом мечты;Агентство недвижимости;Sankt-Peterburg;2;5;4;49.4;194129.0;9590000;1964;37.1;5.6;Kirovskij;Podvodnika Kuz'mina;Prospekt Veteranov
Адвекс;Агентство недвижимости;Sankt-Peterburg;2;4;4;90.3;107419.0;9700000;1956;64.6;10.2;Krasnosel'skij;Pogranichnika Gar'kavogo;Avtovo
АЛЬЯНС ПЛЮС;Агентство недвижимости;Sankt-Peterburg;4;14;4;75.0;129733.0;9730000;1982;47.7;8.0;Krasnogvardejskij;Belorusskaja;Prospekt Bol'shevikov
ЦАРСКОСЕЛЬСКИЙ ДОМ;Агентство недвижимости;Sankt-Peterburg;1;4;4;92.9;104413.0;9700000;1954;62.0;10.3;Kolpinskij;Oktjabr'skaja;
Эрмитаж Галерея Недвижимости;Агентство недвижимости;Sankt-Peterburg;5;9;4;78.0;128205.0;10000000;1983;55.4;10.0;Krasnosel'skij;Letchika Piljutova;Prospekt Veteranov
Наргиза Ибрагимова;Риелтор;Sankt-Peterburg;1;5;4;90.0;111000.0;9990000;1967;67.2;6.0;Kalininskij;Piskarevka;Akademicheskaja
Адвекс;Агентство недвижимости;Sankt-Peterburg;5;9;4;74.2;136118.0;10100000;1969;55.0;6.7;Frunzenskij;Bely Kuna;Mezhdunarodnaja
Никита Лабецкий;Риелтор;Sankt-Peterburg;1;9;4;78.0;130756.0;10199000;1979;55.0;9.9;Frunzenskij;Balkanskij;
МАКРОМИР НЕДВИЖИМОСТЬ;Агентство недвижимости;Sankt-Peterburg;6;10;4;73.4;138964.0;10200000;1989;49.3;6.1;Primorskij;Juntolovo;Komendantskij prospekt
Панорама;Агентство недвижимости;Sankt-Peterburg;2;9;4;74.6;136729.0;10200000;1974;45.9;6.4;Vyborgskij;prospekt Lunacharskogo;Ozerki
Панорама;Агентство недвижимости;Sankt-Peterburg;1;9;4;73.5;138775.0;10200000;1984;48.7;6.4;Krasnogvardejskij;Porohovye;Prospekt Bol'shevikov
Zебра;Агентство недвижимости;Sankt-Peterburg;2;3;4;81.4;125307.0;10200000;1960;57.1;8.3;Krasnosel'skij;prospekt Lenina;
Будь первым;Агентство недвижимости;Sankt-Peterburg;3;9;4;74.0;139189.0;10300000;1976;39.0;7.0;Vyborgskij;Esenina;Prospekt Prosveschenija
ЮВИКОЛ;Агентство недвижимости;Sankt-Peterburg;3;10;4;87.7;119726.0;10500000;1991;55.1;11.7;Kolpinskij;Tverskaja;
Смарт Инновации;Агентство недвижимости;Sankt-Peterburg;1;5;4;91.0;115384.0;10500000;1971;67.0;5.6;Krasnosel'skij;Dobrovol'tsev;Leninskij prospekt
Оксана Карпова;Риелтор;Sankt-Peterburg;1;9;4;87.2;120412.0;10500000;1979;61.2;20.0;Krasnosel'skij;Juzhno-Primorskij;Leninskij prospekt
Century 21 Гарант;Агентство недвижимости;Sankt-Peterburg;1;10;4;72.3;145919.0;10550000;1991;47.9;6.1;Primorskij;Planernaja;Komendantskij prospekt
НЕВА Недвижимость;Агентство недвижимости;Sankt-Peterburg;3;5;4;71.0;150704.0;10700000;1971;52.2;7.2;Moskovskij;Kostjushko;Moskovskaja
Городское агентство недвижимости;Агентство недвижимости;Sankt-Peterburg;1;9;4;86.1;124274.0;10700000;1981;60.4;8.5;Krasnosel'skij;Doblesti;Leninskij prospekt
Ваш Адрес;Агентство недвижимости;Sankt-Peterburg;5;10;4;74.0;144594.0;10700000;1989;49.1;6.2;Primorskij;Shavrova;Komendantskij prospekt
Торговый дом недвижимости;Агентство недвижимости;Sankt-Peterburg;3;9;4;75.0;142666.0;10700000;1967;55.2;7.0;Frunzenskij;prospekt Slavy;Lomonosovskaja
В ПИТЕРЕ ЖИТЬ;Агентство недвижимости;Sankt-Peterburg;7;9;4;97.4;109856.0;10700000;1970;67.9;10.5;Krasnosel'skij;Krasnogorodskaja;Leninskij prospekt
Мария Павлюк;Риелтор;Sankt-Peterburg;5;9;4;79.0;135443.0;10700000;1970;54.0;11.0;Nevskij;Dybenko;Ulitsa Dybenko
Адвекс;Агентство недвижимости;Sankt-Peterburg;1;9;4;88.2;122448.0;10800000;1971;64.8;7.0;Kalininskij;Ushinskogo;
Владис Аврора;Агентство недвижимости;Sankt-Peterburg;4;9;4;64.5;167441.0;10800000;1970;46.3;6.5;Nevskij;Dybenko;Ulitsa Dybenko
Семейный Риэлтор;Агентство недвижимости;Sankt-Peterburg;7;9;4;73.9;146143.0;10800000;1978;48.5;6.4;Vyborgskij;Sikejrosa;
Дом мечты;Агентство недвижимости;Sankt-Peterburg;6;9;4;75.0;143973.0;10798000;1973;52.0;7.0;Nevskij;Kollontaj;Prospekt Bol'shevikov
Феникс Недвижимость;Агентство недвижимости;Sankt-Peterburg;9;13;4;92.0;116847.0;10750000;2022;40.0;20.3;Pushkinskij;prospekt Starorusskij;Kupchino
Оксана Дауранова;Риелтор;Sankt-Peterburg;2;3;4;86.9;124280.0;10800000;1917;;12.4;Pushkinskij;Sadovaja;
ТРИАДА;Агентство недвижимости;Sankt-Peterburg;1;10;4;70.8;152542.0;10800000;1970;54.4;6.0;Krasnosel'skij;Partizana Germana;Prospekt Veteranov
Никита Лабецкий;Риелтор;Sankt-Peterburg;4;4;4;84.7;129870.0;10999999;1939;61.1;8.5;Petrodvortsovyj;Safronova;Prospekt Veteranov
MASTER-GROUP Real Estate;Агентство недвижимости;Sankt-Peterburg;5;9;4;73.5;148299.0;10900000;1987;49.0;7.0;Primorskij;Utochkina;Komendantskij prospekt
Петербургский Квартал;Агентство недвижимости;Sankt-Peterburg;6;9;4;73.4;149727.0;10990000;1987;48.6;6.3;Primorskij;Ozero Dolgoe;Komendantskij prospekt
Адвекс;Агентство недвижимости;Sankt-Peterburg;1;4;4;82.0;132926.0;10900000;1866;52.0;9.4;Admiraltejskij;6-ja Krasnoarmejskaja;Tehnologicheskij institut
Смарт Инновации;Агентство недвижимости;Sankt-Peterburg;4;4;4;86.6;125866.0;10900000;1952;58.0;7.0;Kolpinskij;prospekt Lenina;Shushary
Риэлторские Услуги;Агентство недвижимости;Sankt-Peterburg;9;9;4;78.1;139564.0;10900000;1974;55.0;9.7;Vyborgskij;prospekt Hudozhnikov;Prospekt Prosveschenija
Дина Бурдилова;Риелтор;Sankt-Peterburg;5;9;4;74.4;147715.0;10990000;1972;52.0;7.0;Nevskij;Nevskij;Prospekt Bol'shevikov
Итака;Агентство недвижимости;Sankt-Peterburg;1;9;4;73.6;149456.0;11000000;1981;49.0;6.4;Krasnogvardejskij;Kommuny;Ladozhskaja
ЮСОН;Агентство недвижимости;Sankt-Peterburg;7;9;4;74.0;148648.0;11000000;1973;49.4;6.5;Kalininskij;prospekt Lunacharskogo;Grazhdanskij prospekt
Петербургская Недвижимость;Агентство недвижимости;Sankt-Peterburg;6;9;4;73.6;149456.0;11000000;1976;49.3;6.4;Vyborgskij;Sosnovskoe;Ozerki
