author;author_type;city;floor;floors_count;rooms_count;total_meters;price_per_m2;price;year_of_construction;living_meters;kitchen_meters;district;street;underground
RBI;Застройщик;Sankt-Peterburg;2;24;1;36.0;216666.0;7800000;2023;14.0;10.0;Primorskij;Plesetskaja;Komendantskij prospekt
ПИК;Застройщик;Sankt-Peterburg;1;13;1;35.5;327000.0;11608500;2022;9.0;16.0;Vyborgskij;Sampsonievskoe;Lesnaja
Арсенал-Недвижимость;Застройщик;Sankt-Peterburg;2;12;1;48.22;272700.0;13149594;2021;15.0;;Primorskij;Plesetskaja;Komendantskij prospekt
RBI;Застройщик;Sankt-Peterburg;8;13;1;40.4;245049.0;9900000;2021;;;Moskovskij;Zaozernaja;Frunzenskaja
ПИК;Застройщик;Sankt-Peterburg;5;11;1;36.6;251261.0;9196189;2025;10.0;18.0;Frunzenskij;Volkovskoe;Obvodnyj kanal
RBI;Застройщик;Sankt-Peterburg;7;7;1;52.7;434535.0;22900000;2022;17.0;16.0;Admiraltejskij;11-ja Krasnoarmejskaja;Baltijskaja
ПИК;Застройщик;Sankt-Peterburg;12;12;1;34.1;273983.0;9342854;2025;9.0;16.0;Frunzenskij;Volkovskoe;Volkovskaja
RBI;Застройщик;Sankt-Peterburg;15;16;1;46.0;265217.0;12200000;2024;21.0;13.0;Moskovskij;Moskovskaja zastava;Moskovskie vorota
Elba;Застройщик;Sankt-Peterburg;7;10;1;36.52;287513.0;10500000;2024;10.0;16.0;Frunzenskij;Prilukskaja;Obvodnyj kanal
Группа Эталон;Застройщик;Sankt-Peterburg;1;23;1;39.7;148753.0;5905500;2013;18.0;11.0;Nevskij;Rusanovskaja;
Группа Эталон;Застройщик;Sankt-Peterburg;1;19;1;45.2;234934.0;10619043;2023;18.0;13.0;Moskovskij;Parfenovskaja;Moskovskie vorota
Element Development;Застройщик;Sankt-Peterburg;13;25;1;36.94;413100.0;15259914;2025;16.0;;Moskovskij;Altajskaja;Moskovskaja
Группа Эталон;Застройщик;Sankt-Peterburg;8;8;1;40.6;266411.0;10816300;2022;17.0;12.0;Moskovskij;Chernigovskaja;Moskovskie vorota
Полис;Застройщик;Sankt-Peterburg;4;13;1;37.35;226555.0;8461840;2023;18.0;11.0;Primorskij;Juntolovo;Komendantskij prospekt
Физическое лицо;Собственник;Sankt-Peterburg;3;14;1;43.8;247716.0;10850000;2022;14.0;12.0;Vasileostrovskij;Gavan';Primorskaja
СЕНАТОР;Застройщик;Sankt-Peterburg;4;11;1;39.52;213712.0;8445900;2023;14.0;12.0;Nevskij;Narodnyj;Lomonosovskaja
Арсенал-Недвижимость;Застройщик;Sankt-Peterburg;2;12;1;51.74;272700.0;14109498;2022;17.0;18.0;Primorskij;Juntolovo;Staraja Derevnja
Полис;Застройщик;Sankt-Peterburg;7;13;1;34.3;189260.0;6491648;2024;12.0;12.0;Primorskij;Juntolovo;Begovaja
Группа Аквилон;Застройщик;Sankt-Peterburg;1;13;1;35.85;201304.0;7216784;2025;13.0;9.0;Vasileostrovskij;Gavan';Gornyj institut
Росстройинвест;Застройщик;Sankt-Peterburg;21;22;1;45.62;255392.0;11651009;2024;16.0;13.0;Kalininskij;Finljandskij;Lesnaja
АБСОЛЮТ СТРОЙ СЕРВИС;Застройщик;Sankt-Peterburg;3;6;1;46.82;326482.0;15285892;2023;16.0;18.0;Vyborgskij;Sampsonievskoe;Lesnaja
РосСтройИнвест;Застройщик;Sankt-Peterburg;4;18;1;31.83;234768.0;7472695;2024;12.0;10.0;Moskovskij;Novoizmajlovskoe;Leninskij prospekt
HANSA GROUP;Застройщик;Sankt-Peterburg;5;6;1;47.6;306500.0;14589400;2023;;;Vyborgskij;Zelenogorskaja;Udel'naja
Терминал-Ресурс;Застройщик;Sankt-Peterburg;3;4;1;37.51;146000.0;5476460;2024;14.0;;Pushkinskij;;Kupchino
Меринг Девелопмент;Представитель застройщика;Sankt-Peterburg;7;8;1;32.7;369999.0;12099000;2023;9.0;16.0;Admiraltejskij;Semenovskij;Pushkinskaja
Garnet;Агентство недвижимости;Sankt-Peterburg;5;17;1;35.7;223809.0;7990000;2011;15.0;9.0;Nevskij;Nevskij;Ulitsa Dybenko
ИЛЬИЧ home;Представитель застройщика;Sankt-Peterburg;4;14;1;38.79;272115.0;10555359;2024;12.0;13.0;Primorskij;Chernaja rechka;Chernaja rechka
